Algorithm,KeySize,KeyGenerationTime(us),EncryptionTime(us),DecryptionTime(us),CiphertextSize(bytes),AttackResult
RSA,2048,229597,96,1863,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1175,13620,9268,5473,QUANTUM_SAFE
RSA,2048,196336,51,1085,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7456,12723,6826,5475,QUANTUM_SAFE
RSA,2048,72405,76,1023,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2404,16031,6406,5475,QUANTUM_SAFE
RSA,2048,101991,51,2061,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6928,14721,7654,5473,QUANTUM_SAFE
RSA,2048,225391,143,1043,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7338,17495,8682,5475,QUANTUM_SAFE
RSA,2048,179877,50,1044,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6137,11658,9970,5472,QUANTUM_SAFE
RSA,2048,76306,105,1009,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6956,15048,4162,5472,QUANTUM_SAFE
RSA,2048,45006,70,1155,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2226,16554,6929,5473,QUANTUM_SAFE
RSA,2048,103782,50,1065,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7802,9524,9179,5469,QUANTUM_SAFE
RSA,2048,46655,61,1021,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5046,9192,5508,5473,QUANTUM_SAFE
RSA,2048,239560,57,1012,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3140,15407,5437,5472,QUANTUM_SAFE
RSA,2048,70405,54,1007,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2064,7809,9766,5469,QUANTUM_SAFE
RSA,2048,106870,48,1000,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5387,5908,8203,5474,QUANTUM_SAFE
RSA,2048,154285,47,1050,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1373,12047,5534,5470,QUANTUM_SAFE
RSA,2048,197003,45,1152,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4669,11548,6571,5471,QUANTUM_SAFE
RSA,2048,42138,48,1007,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3408,12788,7637,5475,QUANTUM_SAFE
RSA,2048,263089,117,2000,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6050,16635,5892,5474,QUANTUM_SAFE
RSA,2048,47212,53,1015,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6110,6100,7546,5474,QUANTUM_SAFE
RSA,2048,43070,47,996,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1867,7639,4460,5473,QUANTUM_SAFE
RSA,2048,44836,54,1013,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3820,15382,9554,5473,QUANTUM_SAFE
RSA,2048,83551,51,1019,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4852,11703,4092,5470,QUANTUM_SAFE
