Algorithm,KeySize,KeyGenerationTime(us),EncryptionTime(us),DecryptionTime(us),CiphertextSize(bytes),AttackResult
RSA,2048,156460,112,1488,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2448,4811,6253,5473,QUANTUM_SAFE
RSA,2048,48472,72,1132,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3515,5863,9204,5469,QUANTUM_SAFE
RSA,2048,58503,79,1064,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4227,7120,8350,5473,QUANTUM_SAFE
RSA,2048,141750,53,1156,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2278,15391,5689,5474,QUANTUM_SAFE
RSA,2048,43362,64,1133,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1609,13085,4381,5475,QUANTUM_SAFE
RSA,2048,93326,94,991,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7745,6994,7008,5469,QUANTUM_SAFE
RSA,2048,213682,48,994,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7548,10264,4048,5470,QUANTUM_SAFE
RSA,2048,59913,54,1005,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1218,12164,7009,5468,QUANTUM_SAFE
RSA,2048,29405,54,1007,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2575,16733,5471,5474,QUANTUM_SAFE
RSA,2048,131088,48,1017,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7943,16653,5802,5472,QUANTUM_SAFE
RSA,2048,186154,57,1114,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6104,8035,6149,5474,QUANTUM_SAFE
RSA,2048,27428,54,1001,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3157,7743,7582,5471,QUANTUM_SAFE
RSA,2048,82690,46,1052,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4116,11749,7690,5472,QUANTUM_SAFE
RSA,2048,61008,50,983,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2141,11179,7869,5473,QUANTUM_SAFE
RSA,2048,126077,47,991,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2425,13604,7775,5474,QUANTUM_SAFE
RSA,2048,121753,49,983,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7064,17006,7744,5470,QUANTUM_SAFE
RSA,2048,120960,54,984,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6057,4812,5704,5469,QUANTUM_SAFE
RSA,2048,18688,47,978,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7097,16449,9470,5475,QUANTUM_SAFE
RSA,2048,68771,45,987,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5187,15828,4562,5468,QUANTUM_SAFE
RSA,2048,82630,53,1016,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5328,12198,6153,5471,QUANTUM_SAFE
RSA,2048,59805,45,978,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2208,17490,7629,5475,QUANTUM_SAFE
RSA,2048,51060,46,985,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4550,5108,8368,5469,QUANTUM_SAFE
RSA,2048,125229,54,980,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4606,14041,8165,5470,QUANTUM_SAFE
RSA,2048,92250,45,981,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6874,7960,7522,5468,QUANTUM_SAFE
RSA,2048,81551,54,990,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2414,13773,5808,5468,QUANTUM_SAFE
RSA,2048,62555,54,983,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3049,5788,7644,5469,QUANTUM_SAFE
RSA,2048,100588,48,978,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7775,17247,9063,5468,QUANTUM_SAFE
